Type,Category,Cost,Description,Date
Income,Salary,200000,Received,01-07-2023
Expense,Food,10000,Mutton briyani,11-07-2023
Income,Loan from friend,500,From shubham,15-07-2023
Expense,medical,10000,Apollo,27-07-2023
Income,Salary,300000,Received,01-08-2023
Expense,Food,5000,Chicken Briyani,02-08-2023
Expense,Food,2000,Coffee date,15-08-2023
Expense,Transportation,5000,Pune trip,25-08-2023
Income,Loan from friend,1000,From shubham,26-08-2023
Expense,Night out,15000,Birthday Party,07-09-2023
Income,Salary,350000,Received,09-09-2023
Expense,Food,6000,Egg Briyani,10-09-2023
Expense,Transportaion,10000,Mumbai trip,15-09-2023
Expense,medical,500,fever,22-09-2023
Expence,Food,35000,Coffee date,23-09-2023
